cement,ggbs,flyash,silica_fume,limestone_powder,quartz_powder,nano_silica,water,superplasticizer,coarse_agg,fine_agg,temperature,age,cs,is_uhpc,binder,water_binder_ratio
362.6,189,0,0,0,0,0,164.9,11.6,944.7,755.8,0,28,71.3,0,551.6,0.298948513
323.7,282.8,0,0,0,0,0,183.8,10.3,942.7,659.9,0,28,74.7,0,606.5,0.303050288
379.5,151.2,0,0,0,0,0,153.9,15.9,1134.3,605,0,28,52.2,0,530.7,0.289994347
362.6,189,0,0,0,0,0,164.9,11.6,944.7,755.8,0,28,71.3,0,551.6,0.298948513
286.3,200.9,0,0,0,0,0,144.7,11.2,1004.6,803.7,0,28,67.7,0,487.2,0.297003283
362.6,189,0,0,0,0,0,164.9,11.6,944.7,755.8,0,28,71.3,0,551.6,0.298948513
439,177,0,0,0,0,0,186,11.1,884.9,707.9,0,28,66,0,616,0.301948051
389.9,189,0,0,0,0,0,145.9,22,944.7,755.8,0,28,74.5,0,578.9,0.252029711
362.6,189,0,0,0,0,0,164.9,11.6,944.7,755.8,0,28,71.3,0,551.6,0.298948513
337.9,189,0,0,0,0,0,174.9,9.5,944.7,755.8,0,28,49.9,0,526.9,0.331941544
374,189.2,0,0,0,0,0,170.1,10.1,926.1,756.7,0,56,63.4,0,563.2,0.302024147
313.3,262.2,0,0,0,0,0,175.5,8.6,1046.9,611.8,0,56,64.9,0,575.5,0.304952215
425,106.3,0,0,0,0,0,153.5,16.5,852.1,887.1,0,56,64.3,0,531.3,0.288913984
425,106.3,0,0,0,0,0,151.4,18.6,936,803.7,0,56,64.9,0,531.3,0.284961415
375,93.8,0,0,0,0,0,126.6,23.4,852.1,992.6,0,56,60.2,0,468.8,0.270051194
475,118.8,0,0,0,0,0,181.1,8.9,852.1,781.5,0,56,72.3,0,593.8,0.304984843
469,117.2,0,0,0,0,0,137.8,32.2,852.1,840.5,0,56,69.3,0,586.2,0.235073353
425,106.3,0,0,0,0,0,153.5,16.5,852.1,887.1,0,56,64.3,0,531.3,0.288913984
