cement,ggbs,flyash,silica_fume,limestone_powder,quartz_powder,nano_silica,water,superplasticizer,coarse_agg,fine_agg,temperature,age,cs,is_uhpc,binder,water_binder_ratio
378.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.75,1015.0,653.0,0,3,15.0,0,378.0,0.44973544854567343
309.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.61,1047.0,674.0,0,3,12.0,0,309.0,0.5501618105172758
262.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.52,1069.0,688.0,0,3,8.0,0,262.0,0.6488549593555154
227.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.34,1095.0,700.0,0,3,6.0,0,227.0,0.7488986751149839
378.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.56,1124.0,726.0,0,7,28.0,0,378.0,0.44973544854567343
309.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,1159.0,749.0,0,7,20.0,0,309.0,0.5501618105172758
262.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,1184.0,764.0,0,7,15.0,0,262.0,0.6488549593555154
227.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,1202.0,776.0,0,7,14.0,0,227.0,0.7488986751149839
378.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.75,1015.0,653.0,0,7,23.0,0,378.0,0.44973544854567343
309.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.62,1047.0,674.0,0,7,18.0,0,309.0,0.5501618105172758
262.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.52,1069.0,688.0,0,7,14.0,0,262.0,0.6488549593555154
227.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.34,1095.0,700.0,0,7,10.0,0,227.0,0.7488986751149839
378.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.56,1124.0,726.0,0,28,43.0,0,378.0,0.44973544854567343
309.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,1159.0,749.0,0,28,36.0,0,309.0,0.5501618105172758
262.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,1184.0,764.0,0,28,26.0,0,262.0,0.6488549593555154
227.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,1202.0,776.0,0,28,23.0,0,227.0,0.7488986751149839
378.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.75,1015.0,653.0,0,28,39.0,0,378.0,0.44973544854567343
309.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.62,1047.0,674.0,0,28,22.0,0,309.0,0.5501618105172758
262.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.52,1069.0,688.0,0,28,22.0,0,262.0,0.6488549593555154
227.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.34,1095.0,700.0,0,28,17.0,0,227.0,0.7488986751149839
385.0,0.0,165.0,0.0,0.0,0.0,0.0,148.0,6.05,985.0,550.0,0,7,16.0,0,550.0,0.2690909086016529
275.0,0.0,275.0,0.0,0.0,0.0,0.0,146.0,5.5,978.0,547.0,0,7,15.0,0,550.0,0.26545454497190085
165.0,0.0,385.0,0.0,0.0,0.0,0.0,172.0,4.4,972.0,544.0,0,7,6.34,0,550.0,0.3127272721586777
385.0,0.0,165.0,0.0,0.0,0.0,0.0,148.0,6.05,985.0,550.0,0,14,23.5,0,550.0,0.2690909086016529
275.0,0.0,275.0,0.0,0.0,0.0,0.0,146.0,5.5,978.0,547.0,0,14,23.0,0,550.0,0.26545454497190085
