cement,ggbs,flyash,silica_fume,limestone_powder,quartz_powder,nano_silica,water,superplasticizer,coarse_agg,fine_agg,temperature,age,cs,is_uhpc,binder,water_binder_ratio
810.0,0.0,0.0,90.0,0.0,0.0,0.0,162.0,18.0,1539.0,0.0,20,365,177.0,1,900.0,0.1799999998
630.0,180.0,0.0,90.0,0.0,0.0,0.0,162.0,18.0,1539.0,0.0,20,365,174.0,1,900.0,0.1799999998
630.0,180.0,0.0,90.0,0.0,0.0,0.0,126.0,18.0,1539.0,0.0,20,365,168.0,1,900.0,0.13999999984444444
630.0,180.0,0.0,90.0,0.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,365,178.0,1,900.0,0.1599999998222222
630.0,180.0,0.0,90.0,0.0,0.0,0.0,162.0,18.0,1539.0,0.0,20,365,174.0,1,900.0,0.1799999998
630.0,180.0,0.0,90.0,0.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,365,178.0,1,900.0,0.1599999998222222
450.0,180.0,0.0,90.0,180.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,365,183.0,1,900.0,0.1599999998222222
270.0,180.0,0.0,90.0,360.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,365,164.0,1,900.0,0.1599999998222222
874.9,0.0,0.0,43.7,0.0,0.0,0.0,202.1,45.9,1273.4,0.0,21,7,85.91,1,918.6,0.22000870866535083
612.4,0.0,0.0,43.7,262.5,0.0,0.0,202.1,45.9,1273.4,0.0,21,7,78.52,1,918.6,0.22000870866535083
699.9,0.0,0.0,43.7,0.0,175.0,0.0,202.1,45.9,1273.4,0.0,21,7,85.91,1,918.6,0.22000870866535083
874.9,0.0,0.0,43.7,0.0,0.0,0.0,202.1,45.9,1273.4,39.0,21,7,106.71,1,918.6,0.22000870866535083
612.4,0.0,0.0,43.7,262.5,0.0,0.0,202.1,45.9,1273.4,39.0,21,7,89.93,1,918.6,0.22000870866535083
699.9,0.0,0.0,43.7,0.0,175.0,0.0,202.1,45.9,1273.4,39.0,21,7,99.33,1,918.6,0.22000870866535083
874.9,0.0,0.0,43.7,0.0,0.0,0.0,202.1,45.9,1273.4,78.0,21,7,108.73,1,918.6,0.22000870866535083
612.4,0.0,0.0,43.7,262.5,0.0,0.0,202.1,45.9,1273.4,78.0,21,7,92.62,1,918.6,0.22000870866535083
699.9,0.0,0.0,43.7,0.0,175.0,0.0,202.1,45.9,1273.4,78.0,21,7,102.01,1,918.6,0.22000870866535083
874.9,0.0,0.0,43.7,0.0,0.0,0.0,202.1,45.9,1273.4,117.0,21,7,110.74,1,918.6,0.22000870866535083
