No,Fly_ash,Silica_fume,Blast_furnace_slag,Sand_to_binder_ratio,Water_to_binder_ratio,Steel_fiber,Superplasticizer,CS
128,0.19,0.06,0.0,0.0,1.33,1.33,0.15,0.15
129,0.2,0.13,0.0,0.0,1.41,1.41,0.15,0.15
130,0.21,0.21,0.0,0.0,1.51,1.51,0.15,0.15
131,0.23,0.31,0.0,0.0,1.63,1.63,0.15,0.15
132,0.1,0.2,0.0,0.0,1.1,1.1,0.18,0.18
133,0.1,0.2,0.0,0.0,1.1,1.1,0.18,0.18
134,0.1,0.2,0.0,0.0,1.1,1.1,0.18,0.18
135,0.1,0.2,0.0,0.0,1.1,1.1,0.18,0.18
136,0.1,0.2,0.0,0.0,1.1,1.1,0.18,0.18
137,0.1,0.2,0.0,0.0,1.1,1.1,0.18,0.18
138,0.1,0.2,0.0,0.0,1.1,1.1,0.18,0.18
139,0.1,0.2,0.0,0.0,1.1,1.1,0.18,0.18
140,0.1,0.2,0.0,0.0,1.1,1.1,0.18,0.18
141,0.1,0.2,0.0,0.0,1.1,1.1,0.16,0.16
142,0.1,0.2,0.0,0.0,1.1,1.1,0.16,0.16
143,0.1,0.2,0.0,0.0,1.2,1.2,0.16,0.16
144,0.2,0.1,0.0,0.0,1.1,1.1,0.18,0.18
145,0.2,0.1,0.0,0.0,1.1,1.1,0.18,0.18
146,0.2,0.1,0.0,0.0,1.1,1.1,0.16,0.16
147,0.2,0.1,0.0,0.0,1.1,1.1,0.16,0.16
148,0.2,0.1,0.0,0.0,1.1,1.1,0.16,0.16
149,0.2,0.1,0.0,0.0,1.1,1.1,0.16,0.16
150,0.2,0.1,0.0,0.0,1.1,1.1,0.16,0.16
151,0.2,0.1,0.0,0.0,1.1,1.1,0.16,0.16
152,0.2,0.1,0.0,0.0,1.1,1.1,0.16,0.16
153,0.2,0.1,0.0,0.0,1.1,1.1,0.16,0.16
154,0.15,0.15,0.0,0.0,1.1,1.1,0.18,0.18
155,0.15,0.15,0.0,0.0,1.1,1.1,0.16,0.16
156,0.2,0.1,0.1,0.1,1.1,1.1,0.16,0.16
157,0.1,0.2,0.1,0.1,1.1,1.1,0.16,0.16
158,0.2,0.0,0.1,0.1,1.1,1.1,0.16,0.16
159,0.3,0.1,0.1,0.1,1.0,1.0,0.16,0.16
160,0.3,0.1,0.1,0.1,1.1,1.1,0.16,0.16
161,0.1,0.1,0.2,0.2,1.1,1.1,0.16,0.16
162,0.3,0.0,0.1,0.1,1.1,1.1,0.16,0.16
163,0.3,0.3,0.1,0.1,1.0,1.0,0.14,0.14
164,0.3,0.0,0.1,0.1,1.0,1.0,0.16,0.16
165,0.2,0.0,0.1,0.1,1.0,1.0,0.16,0.16
166,0.3,0.1,0.1,0.1,1.1,1.1,0.14,0.14
167,0.1,0.0,0.1,0.1,1.1,1.1,0.18,0.18
168,0.2,0.1,0.1,0.1,1.1,1.1,0.18,0.18
169,0.2,0.2,0.1,0.1,1.1,1.1,0.18,0.18
170,0.25,0.2,0.1,0.1,1.1,1.1,0.18,0.18
171,0.15,0.15,0.1,0.1,1.1,1.1,0.18,0.18
172,0.15,0.1,0.1,0.1,1.1,1.1,0.18,0.18
173,0.2,0.15,0.1,0.1,1.1,1.1,0.18,0.18
174,0.25,0.2,0.1,0.1,1.1,1.1,0.18,0.18
175,0.15,0.15,0.1,0.1,1.1,1.1,0.18,0.18
176,0.2,0.2,0.1,0.1,1.1,1.1,0.18,0.18
177,0.25,0.1,0.1,0.1,1.1,1.1,0.18,0.18
178,0.15,0.2,0.1,0.1,1.1,1.1,0.18,0.18
179,0.2,0.1,0.1,0.1,1.1,1.1,0.18,0.18
180,0.25,0.15,0.1,0.1,1.1,1.1,0.18,0.18
