Model,RMSE,MAE,R2
Random Forest Regressor,4.90505172959767,2.754854982494083,0.9884149004174949
Gradient Boosting Regressor,6.658769798194468,4.940154453236735,0.978649866765464
Support Vector Regressor,9.551044812751677,6.010533954632474,0.9560747387756495
K-Nearest Neighbours Regressor,9.848770546783802,4.9088413417866725,0.9532935750352799
Neural Network Regressor,13.557072070691637,9.143532007327117,0.9114997704714422
Multiple Linear Regression,16.7355400932999,12.257846493464017,0.8651372371389475
Simple Linear Regression (binder),21.560942792767655,15.540400313392864,0.7761546474790939
Naive Bayes Strength-Range Model,32.71782866630302,25.569268306230892,0.4845559448806581
