concrete_type,model,feature,standardized_coefficient,absolute_importance,importance
uhpc,Random Forest Regressor,binder,,0.03076343654926037,0.03076343654926037
normal,Random Forest Regressor,cement,,0.07995924804731708,0.07995924804731708
uhpc,Random Forest Regressor,cement,,0.013449020649396742,0.013449020649396742
normal,Random Forest Regressor,coarse_agg,,0.01740628681257071,0.01740628681257071
uhpc,Random Forest Regressor,coarse_agg,,0.01622341386758036,0.01622341386758036
normal,Random Forest Regressor,fine_agg,,0.016327422179375287,0.016327422179375287
uhpc,Random Forest Regressor,fine_agg,,0.017709296711303384,0.017709296711303384
normal,Random Forest Regressor,flyash,,0.02821671115678931,0.02821671115678931
uhpc,Random Forest Regressor,flyash,,0.0006005500339321089,0.0006005500339321089
normal,Random Forest Regressor,ggbs,,0.015753764793684996,0.015753764793684996
uhpc,Random Forest Regressor,ggbs,,0.00028529437518732333,0.00028529437518732333
normal,Random Forest Regressor,limestone_powder,,0.0,0.0
uhpc,Random Forest Regressor,limestone_powder,,0.000992960814284359,0.000992960814284359
normal,Random Forest Regressor,nano_silica,,0.0,0.0
uhpc,Random Forest Regressor,nano_silica,,0.0007200279103784087,0.0007200279103784087
normal,Random Forest Regressor,quartz_powder,,0.0,0.0
uhpc,Random Forest Regressor,quartz_powder,,0.0004905986774940163,0.0004905986774940163
normal,Random Forest Regressor,sand_binder_ratio,,0.0,0.0
uhpc,Random Forest Regressor,sand_binder_ratio,,3.8426334695446906e-10,3.8426334695446906e-10
normal,Random Forest Regressor,silica_fume,,0.000580486799348258,0.000580486799348258
uhpc,Random Forest Regressor,silica_fume,,0.010892051348919693,0.010892051348919693
normal,Random Forest Regressor,steel_fiber,,0.0,0.0
uhpc,Random Forest Regressor,steel_fiber,,3.236870593097147e-10,3.236870593097147e-10
normal,Random Forest Regressor,superplasticizer,,0.014900610101622932,0.014900610101622932
uhpc,Random Forest Regressor,superplasticizer,,0.7501343649611271,0.7501343649611271
normal,Random Forest Regressor,temperature,,0.0,0.0
uhpc,Random Forest Regressor,temperature,,0.0025575150594978596,0.0025575150594978596
normal,Random Forest Regressor,water,,0.014707344898517773,0.014707344898517773
uhpc,Random Forest Regressor,water,,0.005084986506351118,0.005084986506351118
normal,Random Forest Regressor,water_binder_ratio,,0.3881198154242495,0.3881198154242495
uhpc,Random Forest Regressor,water_binder_ratio,,0.026470053961241212,0.026470053961241212
