Feature,StandardizedCoefficient
fine_agg,17.960944445279342
binder,17.291417800420078
cement,14.09653349102499
silica_fume,11.715621963761672
coarse_agg,10.14104553723128
age,9.669392929740745
superplasticizer,8.564203586272933
is_uhpc,7.741326567574524
ggbs,4.795648782507518
quartz_powder,3.188729521204952
nano_silica,-2.984786372420109
limestone_powder,2.4804958260086702
water,-2.363356468338715
temperature,2.1145639175026183
water_binder_ratio,-1.9859931516484561
flyash,1.6471492648893018
