concrete_type,model,rows,features,RMSE,MAE,R2
normal,Random Forest Regressor,2248,17,2.6462292415339173,1.612985713343611,0.9760160411247921
normal,Gradient Boosting Regressor,2248,17,3.6724859999132002,2.8500938103447013,0.9538059287184277
normal,Multiple Linear Regression,2248,17,10.350018152369852,8.27515562249523,0.6330996167575969
uhpc,Random Forest Regressor,1140,17,8.054631469261881,4.95715563888921,0.9842637114307462
uhpc,Gradient Boosting Regressor,1140,17,8.460370113432683,5.450004822506874,0.9826384023748362
uhpc,Multiple Linear Regression,1140,17,20.572993400200765,14.541057318421487,0.8973388947808122
