Model,RMSE,MAE,R2
Random Forest Regressor,4.894612837492386,2.74912776491358,0.9884641585799504
Gradient Boosting Regressor,6.658495057558793,4.9395881205342,0.9786516285407901
Multiple Linear Regression,16.735540092993954,12.257846493487532,0.8651372371438784
Simple Linear Regression (binder),21.560942792767655,15.54040031339287,0.7761546474790939
